DATASET,NLME_RESULT_ID,NLME_CURVE_ID,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,COMPANY_ID,WEBRELEASE,MIN_CONC,MAX_CONC,LN_IC50,AUC,RMSE,Z_SCORE,IC50_uM,sensitivity,outliers
GDSC2,343,16108520,925341,NCI-H810,SIDM01116,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.105112,0.819381,0.137228,-0.573506,60.649536915360834,Low,False
GDSC2,343,16108971,925345,NOS-1,SIDM00242,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.646596,0.942555,0.087269,0.730479,283.325382880277,Low,False
GDSC2,343,16109423,925347,PANC-08-13,SIDM01136,PAAD,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.664258,0.838208,0.141709,-0.100508,106.08683957598801,Low,False
GDSC2,343,16109704,925348,PANC-10-05,SIDM01135,PAAD,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,6.361715,0.867155,0.114092,1.335418,579.2388997576019,Low,False
GDSC2,343,16109986,930082,RL95-2,SIDM01088,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.836431,0.886346,0.130536,0.045137,126.01878712459383,Low,False
GDSC2,343,16110266,930083,RO82-W-1,SIDM00218,THCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,6.999599,0.890763,0.061742,1.875023,1096.1934966899987,Low,False
GDSC2,343,16110548,930297,SiHa,SIDM01093,CESC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.079006,0.825556,0.092811,-0.59559,59.08670846209939,Low,False
GDSC2,343,16110829,930298,SKG-IIIa,SIDM00381,CESC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.555097,0.744419,0.080119,-1.03878,34.99121395083596,Low,False
GDSC2,343,16111281,930301,VMRC-MELG,SIDM00319,SKCM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.677242,0.845911,0.11405,-0.089525,107.47325221466903,Low,False
GDSC2,343,16111460,946353,TE-9,SIDM00325,ESCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.718458,0.884318,0.128049,-0.054659,111.99542250849406,Low,False
GDSC2,343,16111743,946354,TE-11,SIDM00348,ESCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.977973,0.839347,0.133819,-0.681057,53.408665068359774,Low,False
GDSC2,343,16111922,946355,TE-6,SIDM00328,ESCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.736604,0.851018,0.075688,-0.039309,114.04624225920493,Low,False
GDSC2,343,16112204,946356,TE-12,SIDM00023,ESCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.738864,0.839195,0.111485,-0.037397,114.30427823753762,Low,False
GDSC2,343,16112459,946357,TC-YIK,SIDM00234,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.809479,0.822059,0.124965,-0.823591,45.12692161444544,Low,False
GDSC2,343,16112897,946359,BT-474,SIDM00963,BRCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.811805,0.899812,0.082381,0.870235,334.22185199327146,Low,False
GDSC2,343,16113182,946360,OAW-28,SIDM00481,OV,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.581054,0.86039,0.154202,-0.170894,97.61722856273364,Low,False
GDSC2,343,16113463,946361,LCLC-97TM1,SIDM00344,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.481573,0.870262,0.096175,-0.255047,88.37357503383414,Low,False
GDSC2,343,16113745,946363,KP-N-YS,SIDM00157,NB,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.553194,0.801448,0.10883,-1.04039,34.92468898926463,Low,False
GDSC2,343,16113925,946366,D-245MG,SIDM01021,GBM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.710289,0.844546,0.10049,-0.06157,111.08425861795249,Low,False
GDSC2,343,16114105,946367,D-247MG,SIDM00622,GBM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.812088,0.852567,0.090619,0.024545,122.98814886016233,Low,False
GDSC2,343,16114284,946368,D-263MG,SIDM00732,GBM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,7.302796,0.971595,0.060523,2.131506,1484.4446377867885,Low,False
GDSC2,343,16114566,946369,D-336MG,SIDM00620,LGG,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.505253,0.769269,0.081362,-1.080944,33.28986512294422,Low,False
GDSC2,343,16114745,946370,D-392MG,SIDM00542,GBM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.399391,0.890934,0.118533,0.521361,221.27162074610172,Low,False
GDSC2,343,16115028,946372,D-423MG,SIDM00209,GBM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.402626,0.771063,0.047651,-1.16776,30.042889178974576,Low,False
GDSC2,343,16115207,946373,D-502MG,SIDM00208,LGG,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.681266,0.826155,0.118723,-0.086121,107.90659588429847,Low,False
GDSC2,343,16115387,946377,D-566MG,SIDM00206,GBM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.691064,0.816302,0.063362,-0.923762,40.08747734979627,Low,False
GDSC2,343,16115565,946382,CAMA-1,SIDM00920,BRCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.330084,0.923677,0.041081,0.462732,206.455315674471,Low,False
GDSC2,343,16115852,949088,CTB-1,SIDM00283,DLBC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.432853,0.754277,0.146988,-1.14219,30.964859592931234,Low,False
GDSC2,343,16116366,949094,M059J,SIDM00659,GBM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.838645,0.862761,0.071763,0.04701,126.29810180654525,Low,False
GDSC2,343,16116645,949153,HAL-01,SIDM00289,ALL,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.908321,0.848415,0.127723,-0.739977,49.815241927293386,Low,False
GDSC2,343,16116928,949154,OMC-1,SIDM00240,CESC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.225551,0.828673,0.079357,-0.471624,68.41218828120381,Low,False
GDSC2,343,16117106,949155,ES8,SIDM00261,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.881362,0.844389,0.118897,-0.762783,48.49021378719531,Low,False
GDSC2,343,16117388,949156,ES4,SIDM00264,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.19436,0.823448,0.157035,-0.498009,66.311278775431,Low,False
GDSC2,343,16117667,949157,ES6,SIDM00262,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.249574,0.872288,0.156296,0.394627,190.48510451741353,Low,False
GDSC2,343,16118117,949160,EW-7,SIDM00201,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.731125,0.816893,0.14062,-0.889872,41.72602354566789,Low,False
GDSC2,343,16118397,949161,EW-3,SIDM00202,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.837607,0.799069,0.14131,-0.799796,46.41427208613716,Low,False
GDSC2,343,16118680,949162,EW-12,SIDM00200,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.665624,0.816775,0.089647,-0.945282,39.08051479740801,Low,False
GDSC2,343,16118858,949163,EW-1,SIDM00205,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.171181,0.85808,0.119917,-0.517617,64.79192620540816,Low,False
GDSC2,343,16119139,949164,EW-18,SIDM00197,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.730951,0.796654,0.204622,-0.89002,41.718763849182864,Low,False
GDSC2,343,16119420,949165,EW-16,SIDM00198,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.837659,0.797817,0.115591,-0.799753,46.41668569103881,Low,False
GDSC2,343,16119701,949166,EW-13,SIDM00621,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.860839,0.944841,0.065003,0.911713,351.01852505232097,Low,False
GDSC2,343,16119959,949167,EW-22,SIDM00196,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.240892,0.845403,0.151731,-0.458646,69.46979126347185,Low,False
GDSC2,343,16120240,949168,EW-24,SIDM00195,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.273944,0.818177,0.138706,-0.430686,71.80427394650981,Low,False
GDSC2,343,16120523,949170,LAN-6,SIDM00330,NB,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.1893,0.740092,0.104322,-1.348218,24.27143149316086,Low,False
GDSC2,343,16120702,949171,NB10,SIDM00259,NB,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.663266,0.80277,0.142379,-0.947277,38.9884715052052,Low,False
GDSC2,343,16121143,949173,NB6,SIDM00253,NB,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.316381,0.916011,0.100997,0.451141,203.64555353521345,Low,False
GDSC2,343,16121321,949174,NB7,SIDM00156,NB,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.714537,0.871288,0.157348,-0.057976,111.5571482550232,Low,False
GDSC2,343,16121604,949175,NB17,SIDM00255,NB,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.666362,0.816536,0.118353,-0.944657,39.10936686243097,Low,False
GDSC2,343,16121782,949176,NB5,SIDM00254,NB,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.89602,0.87496,0.122339,0.095546,133.75636855406017,Low,False
GDSC2,343,16121961,949177,NB13,SIDM00257,NB,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.952236,0.83564,0.116105,-0.702829,52.051624242418164,Low,False
