DATASET,NLME_RESULT_ID,NLME_CURVE_ID,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,COMPANY_ID,WEBRELEASE,MIN_CONC,MAX_CONC,LN_IC50,AUC,RMSE,Z_SCORE,IC50_uM,sensitivity,outlier
GDSC2,343,15990171,905941,NCI-H226,SIDM00139,LUSC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,4.964245,0.966913,0.043476,1.5689,143.20039315233842,Low,False
GDSC2,343,15990451,905942,NCI-H23,SIDM00138,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.460041,0.982114,0.047772,0.252056,11.705291447092021,Low,False
GDSC2,343,15990660,905943,NCI-H460,SIDM00144,UNCLASSIFIED,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.003907,0.967448,0.079286,0.012196,7.417981610300828,Low,False
GDSC2,343,15990911,905944,NCI-H522,SIDM00116,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.901927,0.981775,0.023513,0.484423,18.209200712545393,Low,False
GDSC2,343,15991194,905945,T47D,SIDM00097,BRCA,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.000977,1.0,2.157161,0.964158,0.069275,0.092785,8.646555209947792,Low,False
GDSC2,343,15991479,905946,MCF7,SIDM00148,BRCA,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.000977,1.0,3.114911,0.968448,0.094329,0.596422,22.53142496743419,Low,False
GDSC2,343,15991761,905947,786-0,SIDM00125,KIRC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.075168,0.960096,0.119866,0.049669,7.9658846152418645,Low,False
GDSC2,343,15992042,905948,A498,SIDM00124,KIRC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.499474,0.922543,0.072852,-0.253061,4.479332321766279,Low,False
GDSC2,343,15992325,905949,A549,SIDM00903,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.904292,0.945678,0.095017,-0.040186,6.714651970735779,Low,False
GDSC2,343,15992608,905950,ACHN,SIDM00123,KIRC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.357492,0.946069,0.080907,0.19813,10.564422627243532,Low,False
